movie_title,movie_year,budget,bill_order,actor_name,director_name,resonance,genre_action,genre_drama,genre_comedy,genre_thriller,genre_romance,_ord,atr3,_dor,dtr3,release_density
Synth Movie 0315,1996,15927727.112598,1,Actor_000,Director_55,51.64657085745122,0,0,0,1,0,1,0.0,1,0.0,0.0
Synth Movie 0332,1999,31096770.54022277,2,Actor_000,Director_42,48.86633860415658,0,1,0,0,0,2,51.64657085745122,21,50.63416722074597,1.0
Synth Movie 0347,2002,3738830.5866687438,3,Actor_000,Director_07,35.187369105712605,0,0,0,1,0,3,50.2564547308039,27,51.19818546996205,2.0
Synth Movie 0346,2004,2760303.8632343453,3,Actor_000,Director_47,37.549043295266806,1,0,0,1,0,4,45.23342618910681,20,43.31555581920383,3.0
Synth Movie 0358,2004,11750810.02360533,5,Actor_000,Director_27,43.465312791680866,0,0,1,1,0,5,40.53425033504533,21,37.222266804221,3.0
Synth Movie 0052,2005,41320997.80975292,2,Actor_000,Director_46,35.115950370091625,0,1,0,0,0,6,38.73390839755343,26,36.150810680915406,3.0
Synth Movie 0060,2008,296848.3006483677,2,Actor_000,Director_40,35.00306907072955,0,1,0,1,0,7,38.71010215234643,20,41.973491930654056,3.0
Synth Movie 0307,1999,20524069.6114655,5,Actor_001,Director_46,60.07191261376575,1,0,0,0,0,1,0.0,12,28.11488614391446,0.0
Synth Movie 0179,2001,11597037.210050993,1,Actor_001,Director_38,62.43779878817766,1,0,1,0,0,2,60.07191261376575,4,52.392093135104574,1.0
Synth Movie 0125,2002,4861494.5219192365,1,Actor_001,Director_20,56.37922183075542,1,0,0,0,1,3,61.2548557009717,14,36.551339502928876,2.0
Synth Movie 0380,2002,3754681.9098824365,5,Actor_001,Director_59,32.31851204162288,0,1,0,0,0,4,59.62964441089961,24,38.74572402662625,3.0
Synth Movie 0116,2004,3090167.2419360774,2,Actor_001,Director_04,25.485822069229467,0,0,1,0,0,5,50.378510886851984,20,44.70725274807962,3.0
Synth Movie 0111,2006,17710026.640099823,2,Actor_001,Director_20,55.309475031878726,0,0,0,0,1,6,38.06118531386925,34,56.68896233476591,3.0
